CUSTOMERACCOUNT,ORGANIZATIONNAME,CUSTOMERTYPE,CUSTOMERGROUPID,ADDRESSDESCRIPTION,ADDRESSSTREET,ADDRESSCITY,ADDRESSSTATEID,ADDRESSZIPCODE,ADDRESSCOUNTRYREGIONID,CURRENCYCODE,LANGUAGEID,PAYMENTTERMSNAME,SALESTAXGROUP,INVOICEACCOUNT
CUST-0001,Oak Brook Organics Corp.,Organization,20,Primary,250 Commerce Dr,Buffalo,NY,14201,US,USD,en-us,COD,ExemptUS,CUST-0001
CUST-0002,Pioneer Star Provisions Ltd.,Organization,10,Primary,710 Freight Ln,Seattle,WA,98101,US,USD,en-us,Net90,ExemptUS,CUST-0002
CUST-0003,Southern Creek Pantry Foods LLC,Organization,20,Primary,620 Produce Ln,Sacramento,CA,95814,US,USD,en-us,2%10Net30,TaxableUS,CUST-0003
CUST-0004,Sunrise Ridge Pantry Foods LLC,Organization,20,Primary,3400 Harvest Rd,Louisville,KY,40201,US,USD,en-us,2%10Net30,ExemptUS,CUST-0004
CUST-0005,Frontier Creek Organics Corp.,Organization,10,Primary,620 Produce Ln,Nashville,TN,37201,US,USD,en-us,Net90,ExemptUS,CUST-0005
CUST-0006,Summit Harbor Food Supply Co.,Organization,30,Primary,1750 Trade Center Dr,Newark,NJ,07101,US,USD,en-us,Net30,ExemptUS,CUST-0006
CUST-0007,Crestview Star Cannery LLC,Organization,30,Primary,800 Warehouse Ave,Baltimore,MD,21201,US,USD,en-us,Net30,ExemptUS,CUST-0007
CUST-0008,Pioneer Cove Pantry Foods LLC,Organization,20,Primary,1200 Distribution Pkwy,Columbus,OH,43201,US,USD,en-us,COD,ExemptUS,CUST-0008
CUST-0009,National Orchard Food Products Inc.,Organization,10,Primary,320 Mill Rd,Chicago,IL,60601,US,USD,en-us,Net90,TaxableUS,CUST-0009
CUST-0010,Pioneer Point Foods Inc.,Organization,10,Primary,800 Warehouse Ave,Minneapolis,MN,55401,US,USD,en-us,Net60,TaxableUS,CUST-0010
